ano;tipo;natureza;titulo;evento;anais;edicao;isbn;pais;cidade;volume;fasciculo;serie;pinicial;pfinal;idioma;url;obs;area;linha;projeto;autor;tipo;;;;;;;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A CHECKPOINT-DETERMINISTIC ARCHITECTURE FOR RELIABLE AND LOW-POWER EMBEDDED COMPUTING;Workshop on Highly-Reliable Power-Efficient Embedded Designs (HARSH);Workshop on Highly-Reliable Power-Efficient Embedded Designs (HARSH), 2014, Orlando. Proceedings, 2014;-;-;ESTADOS UNIDOS;Orlando;1;-;-;1;6;Inglês;-;best paper award;INFORMATICA TEORICA;FUNDAMENTOS DA COMPUTAÇÃO;NÃO INFORMADO;RONALDO RODRIGUES FERREIRA;Discente;JEAN DA ROLT JOAQUIM;Participante Externo;GABRIEL LUCA NAZAR;Participante Externo;ALVARO FREITAS MOREIRA;Docente;LUIGI CARRO;Docente;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A COLLABORATIVE SOLUTION FOR SNMP TRACES VISUALIZATION;International Conference on Information Networking (ICOIN);Proceedings of International Conference on Information Networking;-;-;INDONÉSIA;Pukhet, Indonesia;1;-;-;458;463;Inglês;http:/dx.doi.org/10.1109/ICOIN.2014.6799724;-;SISTEMAS DE COMPUTACAO;REDES DE COMPUTADORES;NÃO INFORMADO;VINICIUS TAVARES GUIMARAES;Discente;GLEDERSON LESSA DOS SANTOS;Discente;GUILHERME DA CUNHA RODRIGUES;Discente;LISANDRO ZAMBENEDETTI GRANVILLE;Docente;LIANE MARGARIDA ROCKENBACH TAROUCO;Docente;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A COLUMN GENERATION APPROACH FOR THE VIRTUAL NETWORK EMBEDDING PROBLEM;ALIO/EURO Workshop on Applied Combinatorial Optimization;Proceedings of the VIII ALIO/EURO Workshop on. Applied Combinatorial Optimization;-;-;BRASIL;Montevideo;1;-;-;1;6;Inglês;-;-;INFORMATICA TEORICA;FUNDAMENTOS DA COMPUTAÇÃO;SecFuNet Security for Future Networks;LEONARDO FERNANDO DOS SANTOS MOURA;Discente;LUCIANA SALETE BURIOL;Docente;;;;;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A COMPARISON OF CLASSIFICATION METHODS FOR GENE PREDICTION IN METAGENOMICS;Workshop on New Frontiers in Mining Complex Patterns (NFmcp);Workshop on New Frontiers in Mining Complex Patterns (NFmcp);-;-;BRASIL;Nancy;1;-;-;-;-;Inglês;-;-;SISTEMAS DE INFORMACAO;MODELAGEM CONCEITUAL E BANCOS DE DADOS;Análise Sensitiva para Modelagem Numérica da Diagênese de laboratórios;RONNIE CLEY DE OLIVEIRA ALVES;Participante Externo;CRISTIAN ANDRES CHAPARRO EGANA;Participante Externo;FABIANA RODRIGUES DE GOES;Participante Externo;LUCINEIA HELOISA THOM;Docente;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A CONSTRUCTIVE APPROACH FOR THRESHOLD LOGIC CIRCUIT SYNTHESIS;IEEE International Symposium on Circuits and Systems (ISCAS);Proceeding of the 2014 IEEE International Symposium on Circuits and Systems (ISCAS);-;-;ESTADOS UNIDOS;Melbourne;-;-;-;385;388;Inglês;-;DOI: 10.1109/ISCAS.2014.6865146-;ENGENHARIA DA COMPUTAÇÃO;MICROELETRÔNICA;NÃO INFORMADO;AUGUSTO NEUTZLING SILVA;Discente;MAYLER GAMA ALVARENGA MARTINS;Participante Externo;RENATO PEREZ RIBAS;Docente;ANDRE INACIO REIS;Docente;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A CONTRIBUTION TO THE SENSOR NETWORK MANAGEMENT FOR CONTEXT AWARENESS IN UBICOMP;Brazilian Symposium on Multimedia and the Web (Webmidia);Proceedings of the 20th Brazilian Symposium on Multimedia and the Web - WebMedia &apos;14;978-1-4503-3230-9;BRASIL;João Pessoa;1;-;-;223;230;Português;-;10.1145/2664551.2664564;SISTEMAS DE COMPUTACAO;COMPUTAÇÃO GRÁFICA, PROCESSAMENTO DE IMAGENS E INTERAÇÃO;NÃO INFORMADO;RODRIGO SANTOS DE SOUZA;Discente;JOAO LADISLAU BARBARA LOPES;Discente;CLAUDIO FERNANDO RESIN GEYER;Docente;ANA MARILZA PERNAS FLEISCHMANN;Participante Externo;ADENAUER CORREA YAMIN;Participante Externo;GIZELE INGRID GADOTTI;Participante Externo
2014;Artigo em Conferencia;TRABALHO COMPLETO;A DISTRIBUTED ARCHITECTURE FOR SUPPORTING CONTEXT-AWARE APPLICATIONS IN UBICOMP;International Conference on Advanced Information Networking and Applications (AINA);2014 IEEE 28th International Conference on Advanced Information Networking and Applications;-;-;CANADA;Victoria;1;-;-;584;590;Inglês;-;-;INTELIGENCIA ARTIFICIAL;INTELIGÊNCIA ARTIFICIAL;NÃO INFORMADO;JOAO LADISLAU BARBARA LOPES;Discente;RODRIGO SANTOS DE SOUZA;Discente;ANA MARILZA PERNAS FLEISCHMANN;Participante Externo;ADENAUER CORREA YAMIN;Participante Externo;CLAUDIO FERNANDO RESIN GEYER;Docente;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A REACTIVE AND PROACTIVE APPROACH FOR AMBIENT INTELLIGENCE;International Conference on Enterprise Information Systems (ICEIS 2014);Proceedings of the International Conference on Enterprise Information Systems (ICEIS’14);-;-;BRASIL;Lisboa;2;-;-;501;513;Português;-;DOI: 10.5220/0004884205010512;SISTEMAS DE INFORMACAO;MODELAGEM CONCEITUAL E BANCOS DE DADOS;AMBIENTES SOCIAIS SENSÍVEIS AO CONTEXTO;ALENCAR MACHADO;Discente;DANIEL LICHTNOW;Participante Externo;ANA MARILZA PERNAS FLEISCHMANN;Participante Externo;LEANDRO KRUG WIVES;Docente;JOSE PALAZZO MOREIRA DE OLIVEIRA;Docente;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A ROBUST DUAL LAYER FRAMEWORK SOLUTION TO THE ROAD SIGN PROBLEM;Encontro Nacional de Inteligência Artificial e Computacional (ENIAC);Anais do ENIAC;-;-;BRASIL;São Carlos;1;-;-;236;240;Inglês;-;-;INTELIGENCIA ARTIFICIAL;INTELIGÊNCIA ARTIFICIAL;NÃO INFORMADO;CASSIO FELIPE FERNANDES DE OLIVEIRA;Discente;PAULO MARTINS ENGEL;Docente;;;;;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A SEMANTIC APPROACH FOR LEARNING SITUATION DETECTION;IEEE International Conference on Advanced Information Networking and Applications (AINA);IEEE International Conference on Advanced Information Networking and Applications (AINA’14);-;-;BRASIL;Victoria, BC, Canada;1;-;-;1119;1126;Português;-;DOI: 10.1109/AINA.2014.136 -;SISTEMAS DE INFORMACAO;MODELAGEM CONCEITUAL E BANCOS DE DADOS;NÃO INFORMADO;ANA MARILZA PERNAS FLEISCHMANN;Participante Externo;ADENAUER CORREA YAMIN;Participante Externo;JOAO LADISLAU BARBARA LOPES;Discente;JOSE PALAZZO MOREIRA DE OLIVEIRA;Docente;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;EVALUATING THE IMPACT OF ENVIRONMENT AND PHYSICAL VARIABILITY ON THE ION CURRENT OF 20NM FINFET DEVICES;International Workshop on Power And Timing Modeling, Optimization and Simulation (PATMOS);PATMOS 2014, 24th International Workshop on Power And Timing Modeling, Optimization and Simulation;-;-;ESTADOS UNIDOS;Palma de Mallorca;1;-;-;1;8;Inglês;-;DOI: 10.1109/PATMOS.2014.6951859;ENGENHARIA DA COMPUTAÇÃO;MICROELETRÔNICA;NÃO INFORMADO;ALEXANDRA LACKMANN ZIMPECK;Discente;CRISTINA MEINHARDT;Discente;RICARDO AUGUSTO DA LUZ REIS;Docente;;;;;;
